                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4647,                 6.3796,                 2.6688,                0.00227,                 0.4193,                 0.0016,                0.00063,                 2.5906,                 7.5177,                 3.2062,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 2.2781,                 5.0408,                 2.4888,                0.15313,                0.05263,                0.06199,                0.03652,                 2.9813,                 38.299,                 3.6804,             0.00017611,             0.00017611,             0.00017611
                      3,                 2.0257,                 3.5506,                 2.3225,                0.79515,                0.07895,                0.09124,                0.02819,                 3.2448,                 6.3234,                 3.9627,             0.00026095,             0.00026095,             0.00026095
                      4,                 1.8981,                  3.042,                 2.1305,                0.14219,                0.08596,                0.03098,                0.00929,                  2.712,                 4.8823,                 3.3365,             0.00033786,             0.00033786,             0.00033786
                      5,                 1.8704,                 2.7645,                 2.0381,                0.18279,                0.17895,                0.10624,                0.04042,                 2.6776,                 6.6231,                 3.4136,             0.00040685,             0.00040685,             0.00040685
                      6,                 1.9351,                 2.7619,                 2.1484,                0.40476,                0.29825,                0.17583,                0.05686,                 2.6635,                  3.503,                 3.1329,             0.00046793,             0.00046793,             0.00046793
                      7,                 1.8123,                 2.6797,                 2.0064,                0.38041,                 0.1193,                0.14778,                0.05169,                 2.8414,                 3.3912,                 3.2967,             0.00052108,             0.00052108,             0.00052108
                      8,                  1.847,                  2.604,                  2.062,                0.50807,                0.02632,                0.00309,                0.00172,                 2.8543,                 24.807,                 3.2041,             0.00056631,             0.00056631,             0.00056631
                      9,                 1.9236,                 2.5265,                 2.0892,                 0.2574,                0.21305,                0.13082,                0.04013,                 2.9095,                 3.6147,                 3.5189,             0.00060361,             0.00060361,             0.00060361
                     10,                 1.9574,                 2.5882,                 2.1444,                0.22711,                0.25088,                0.10858,                0.02885,                 2.9457,                 3.8861,                  3.638,               0.000633,               0.000633,               0.000633
                     11,                 1.9764,                 2.5263,                 2.1909,                0.24118,                0.16491,                0.11166,                0.02517,                 3.0395,                 3.5209,                 3.5586,             0.00065446,             0.00065446,             0.00065446
                     12,                 1.9483,                 2.5107,                 2.1368,                0.41065,                0.31228,                0.30511,                0.10552,                 2.4636,                 3.3561,                 2.9871,             0.00066801,             0.00066801,             0.00066801
                     13,                 1.8726,                 2.3087,                 2.0926,                0.44507,                0.37193,                0.28042,                 0.0966,                 2.6618,                   4.24,                  3.231,             0.00067363,             0.00067363,             0.00067363
                     14,                 1.8702,                 2.2907,                 2.0399,                0.38787,                0.15965,                0.21745,                0.09028,                  2.607,                 5.0734,                 3.0651,             0.00067133,             0.00067133,             0.00067133
                     15,                  1.845,                 2.2831,                 2.0946,                0.38063,                0.19298,                0.23868,                0.08675,                 2.7569,                 3.6063,                 3.2232,             0.00066111,             0.00066111,             0.00066111
                     16,                 2.0634,                 2.5463,                 2.3748,                0.76875,                0.23333,                0.32045,                 0.1014,                 2.6095,                 3.3846,                 3.0272,             0.00064296,             0.00064296,             0.00064296
                     17,                 1.9124,                 2.4767,                 2.2853,                0.32712,                0.31595,                0.38342,                0.12719,                 2.5215,                 3.1732,                 3.1464,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.8592,                 2.3288,                 2.1908,                0.32237,                0.30263,                0.37133,                 0.1333,                 2.3639,                 19.238,                 3.1298,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.9475,                  2.151,                 2.2875,                0.31119,                0.23333,                0.32564,                0.12567,                 2.3647,                 5.1036,                  2.998,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.8787,                 2.1342,                  2.275,                0.36629,                0.42736,                0.27943,                0.10288,                 2.5213,                 3.9926,                 3.1071,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.8916,                 2.0781,                 2.1649,                0.58472,                0.39298,                0.42777,                0.12555,                 2.4767,                 3.3718,                 3.0092,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.7401,                 1.9132,                 2.1109,                 0.5139,                0.45263,                0.43458,                0.17731,                 2.3982,                 2.8681,                 2.8573,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.7262,                 1.7782,                 2.0816,                0.56861,                0.48045,                0.46814,                0.19289,                 2.3358,                 2.9412,                 2.7874,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.7078,                 1.7333,                 2.0626,                0.54841,                0.50584,                0.48366,                0.20281,                 2.3429,                 2.5871,                 2.7306,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.7105,                 1.7463,                 2.0074,                0.52944,                0.51353,                0.48501,                0.20217,                 2.3009,                 2.4673,                 2.6834,             8.2683e-05,             8.2683e-05,             8.2683e-05
